,Año,Actividad,Capital Federal,Gran Buenos Aires,Resto Bs As,Catamarca,Cordoba,Corrientes,Chaco,Chubut,Entre Rios,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquen,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucuman
3214,2021-04-01,Producción de lana y pelos de ganado,"752,705","26,558",114,-,"36,081",-,4,"2,393",192,-,1,-,-,-,-,-,208,-,-,-,191,107,-,89,46
3215,2021-04-01,Otros,"17,366,450","4,619,228","2,382,076",119,"3,228,160","472,807","23,304","82,433","248,831",234,593,"38,302",-,"3,228,299","5,323","43,231","31,306","35,876","280,017","3,043,435","1,048","1,228,861","9,819",109,"535,435"
3216,2021-04-01,Servicios pecuarios (exc. los veterinarios),"2,655,770","90,360","898,688","1,136","883,868","16,519","16,095","15,220","183,893",298,922,"145,276",398,"46,615","3,926","8,533","7,986","4,617","13,143","33,952","1,608","448,425","9,305",147,"74,608"
3217,2021-04-01,Producc. de granja y cría de animales (20),"1,031,923","50,894","413,328",616,"147,755","6,207","3,431",304,"862,253",3,"25,463","3,829",93,"52,348",305,762,"3,048","1,571","10,391","1,232",300,"153,162","13,974",99,"6,635"
3218,2021-04-01,"Caza, captura de animales vivos y silvicultura","489,058","118,975","23,177",184,"129,303","22,744","91,677","1,136","46,328","3,997","1,442","7,922",193,"2,651","145,971","1,340",990,"2,255",173,324,"1,212","15,470","5,286","2,575","32,120"
3219,2021-04-01,Caza y captura de animales vivos (21),"19,722","5,731","1,320",1,"112,700",315,127,121,153,-,-,94,-,192,-,401,-,424,4,-,-,"3,540",154,-,-
3220,2021-04-01,"Silvicultura, extracción de madera (22)","469,337","113,244","21,856",183,"16,603","22,429","91,550","1,015","46,176","3,997","1,442","7,827",193,"2,459","145,971",939,990,"1,831",169,324,"1,212","11,930","5,132","2,575","32,120"
3221,2021-04-01,Pesca (23),"956,041","26,858","872,324",-,"1,139","14,190","2,871","1,514,702","28,356","1,438",78,29,-,"2,871",213,670,"11,239",185,"3,325","4,817","4,754","2,190",-,"3,162",160
3222,2021-04-01,Explotación de minas y canteras,"124,209,708","5,244,920","1,017,557","25,746","430,556","31,211","7,382","1,716,839","153,062","20,015","747,618","122,815","50,123","858,146","18,072","12,208,495","128,318","128,526","211,541","62,258","356,242","546,385","46,965","123,775","253,033"
3223,2021-04-01,"Extracción de carbón, lignito y turba","9,803,442","97,354","142,969","23,946","88,733","18,459",229,"115,032","119,889","10,078",474,"36,500","16,242","65,075","1,107","74,927","20,881","55,650","36,098","14,610","89,235","146,824","16,493",624,"153,109"
3224,2021-04-01,Extracción de petróleo crudo y gas natural (24),"87,224,054","76,852","14,726",85,"38,027",40,"1,169","1,363,548",653,29,"1,446","25,638","33,373","233,973",649,"10,176,430","96,346","11,436","2,083",-,"156,330","2,657",-,"116,515","2,265"
3225,2021-04-01,Extracción de minerales de uranio y torio,"390,708",239,597,-,14,-,60,184,"1,162",-,232,-,-,268,-,5,-,"1,483",-,-,-,246,108,-,-
